p_Id,name,description,price 
1,Godrej 185 L 2 Star Direct Cool Single Door Refrigerator,The star rating changes are as per BEE guidelines on or before 1st Jan 2023,"25,999"
,,"Direct- Cool Refrigerator with Capacity: 185 litres, suitable for a small family",
,,"Energy rating: 2 star, Annual energy consumption: 210 Kilowatt Hours ",
,,63 years of thoughtful appliances: Proudly Made in India,
,,"Warranty: 1 year on product, 10 years on compressor",
,,Shelf type: Strong wired shelves that ensures durability and withstands large vessels and bowls,
,,2.25L Aqua Space - Larger 2.25 L space in the door to store the extra large bottles of water or cola easily,
,,,
2,Haier 195 L 4 Star Direct-Cool Single-Door Refrigerator,Direct-cool refrigerator which comes with 1 hour Icing Technology to ensures faster ice formation within 60 mins along with super-fast cooling.,"15,999"
,,Capacity: 195 litres suitable for a medium sized family.,
,,"Energy rating: 4 star, Annual energy consumption: 130 kwh/yr",
,,(Please refer energy label on product page or contact brand for more details),
,,"Warranty: 10 Years warranty on Compressor, 1 year warranty on the product",
,,Compressor: The refrigerator comes with reciprocatory Compressor that is ideal for optimum cooling.,
,,The refrigerator comes with PUF insulation that helps retain low temperatures efficiently for better cooling.,
,,Shelf type: Spill proof toughened glass,
,,,
3,LG 260L 3 Star Smart Inverter Frost-Free Double Door Refrigerator,The star rating changes are as per BEE guidelines on or before 1st Jan 2023,"32,999"
,,Frost free refrigerator: Auto defrost function to prevent ice-build up,
,,"Capacity 260 L: Suitable for small families and bachelors I freezer capacity: 75L, fresh food capacity: 185L",
,,Energy Rating: 3 Star,
,,"Warranty: 1 year on product, 10 years on compressor",
,,"Smart inverter compressor ? energy efficient, less noise & more durable",
,,Shelf Type: Trimless tempered Glass - no. of Shelves: 03 - TOP LED: Energy Efficient & Longer Life Span,
,,,
4,Samsung 192 L 2 Star Direct Cool Single Door Refrigerator,The star rating changes are as per BEE guidelines on or before 1st Jan 2023,"45,999"
,,Direct-cool refrigerator : economical and Cooling without fluctuation,
,,Capacity 192 liters: suitable for families with 2 to 3 members,
,,Energy Rating: 2 Star,
,,"Manufacturer Warranty: 1 year on product, 10 years on compressor",
,,Shelf type: spill proof toughened glass,
,,Inside box: 1 unit Refrigerator & 1 unit user manual with warranty card,
,,"Spl. Features: Stablizer free operation (Voltage range 130V - 290V), Stylish crown design, Big Bottle Guard",
,,,
5,Whirlpool 200 L 3 Star Inverter Direct-Cool Single Door Refrigerator,The star rating changes are as per BEE guidelines on or before 1st Jan 2023,"18,999"
,,Direct-cool refrigerator with UI and horizontal metallic handle: 200 L with 3S Energy rating,
,,"Modern door design with metallic handle, UI for cooling as per your needs and a Steel finish to compliment your house",
,,Hassle free experience with Auto defrost from Intellifrost Technology,
,,Upto 40% longer vitamin preservation,
,,Preserves milk for upto 12 hours (in case of power cuts),
,,Upto 12 days of Garden freshness with Honeycomb lock in that maintains optimum moisture in your vegetables,
,,,
6,Acer Extensa 15,Fast and Easy Computing : Perfect budget laptop under 30000 for students and working professionals that helps get jobs done quickly and efficiently ,"24,999"
,,thanks to the Intel Pentium Silver N5030 processor.,
,,Redefined Design and Light Weight :The latest Extensa Acer Laptop has been redesigned to be thinner and lighter than ever. With less than 20mm thin ,
,,"and with a weight of around 1.9kg, it can accompany you wherever you need to go",
,,Ease of Storage: 4 GB RAM Laptop with 256GB SSD helps easily store and share important projects and data,
,,Enhanced Video Conferencing and Good Battery Life : The Extensa 15 will help improve your all-round video conferencing experience. It maintains a ,
,,"strong, consistent wireless signal with the strategically placed Wi-Fi 5 (802.11ac) wireless antenna and MU-MIMO. It also offers battery life upto 6.5 hours.",
,,,
7,ASUS VivoBook 15,"Processor: Intel Celeron N4020, 1.1 GHz base speed, Up to 2.8 GHz Turbo Speed, 2 cores, 2 Threads, 4MB Cache","25,999"
,,"Memory & Storage: 4GB SO-DIMM DDR4 2400MHz RAM, Support up to 8GB using 1x SO-DIMM Slot with | Storage: 256GB M.2 NVMe PCIe SSD",
,,Graphics: Integrated Intel HD Graphics,
,,"Display: 15.6-inch (39.62 cms), LED-Backlit LCD, HD (1366 x 768) 16:9, 220nits, NanoEdge bezel, Anti-Glare Plane with 45% NTSC, 82% Screen-To-Body Ratio",
,,Operating System: Pre-loaded Windows 11 Home with lifetime validity,
,,"Design & battery: Up to 19.9mm Thin | NanoEdge Bezels | Thin and Light Laptop | Laptop weight: 1.8 kg | 37WHrs, 2-cell Li-ion battery | Up to 6 hours battery life ",
,,;Note: Battery life depends on conditions of usage,
,,Keyboard: Chiclet Keyboard with 1.4mm Key Travel,
,,,
8,Dell Latitude E5470,"Intel Core i5 6th Gen. - 6200u Processor, 8 GB Ram & 256 GB SSD, 14.1 Inches HD Screen Notebook Computer","19,999"
,,Package Content: 1 Dell Latitude E5470 Laptop,
,,Disk Storage: 256 GB SSD,
,,This product is backed by the Amazon Renewed Guarantee,
,,,
9,HP 15s-Ryzen 3,"Processor: AMD Ryzen 3 3250U (2.6 GHz base clock(2h), up to 3.5 GHz max boost clock(2i), 4 MB L3 cache, 2 cores)| Memory & Storage: 8 GB DDR4-2400 SDRAM (1 x 8 GB)|","28,999"
,,Storage: 256 GB PCIe NVMe M.2 SSD Precision,
,,"Display & Graphics: 39.6 cm (15.6"") diagonal, HD, micro-edge, BrightView, 220 nits, 101 ppi,45%NTSC, 1366 x 768 |Graphics: AMD Radeon Graphics; Operating System & ",
,,Pre-installed Software: Pre-loaded Windows 11Home 64 Single Language|Microsoft Office 2021 Home & Student|McAfee LiveSafe (30 days free trial as default),
,,"Ports: 1 SuperSpeed USB Type-C 5Gbps signaling rate, 2 SuperSpeed USB Type-A 5Gbps signaling rate,1 Headphone/microphone Combo,1 AC Smart pin, 1 HDMI 1.4b",
,,Other Features: Webcam: HP True Vision 720p HD Camera with Integrated dual array digital Microphones| Networking: Realtek RTL8821CE 802.11b/g/n/ac (2x2) and,
,,"Bluetooth 5 combo MU-MIMO supported, Miracast compatible ",
,,"Battery: 3-cell, 41 Wh Li-ion, Support battery fast charge|Audio: Dual Speakers",
,,Software Included: Microsoft Office 365,
,,,
10,Lenovo IdeaPad 3 11th Gen,Processor: 11th Gen Intel Core i3-1115G4 | Speed: 3.0 GHz (Base) - 4.1 GHz (Max) | 2 Cores | 4 Threads | 6MB Cache,"35,999"
,,"Display: 15.6"" FHD (1920x1080)| TN Technology | 220Nits Brightness | Anti Glare || Memory: 8GB RAM DDR4-2666 | ",
,,Upgradable Up to 12GB || Storage: 512 GB SSD,
,,OS and Software: Windows 11 Home 64 | Office Home and Student 2021 | Xbox GamePass Ultimate 3-month subscription*,
,,Graphics: Integrated Intel UHD Graphics || Design: 1.99 cm Thin and 1.7 kg Light,
,,Battery Life: 45Wh Battery | Upto 7 Hours | Rapid Charge (Up to 80% in 1 Hour) || Ports: 2x USB-A 3.2 Gen 1 | 1x USB-A 2.0 ,
,,"|1x Headphone / microphone combo jack (3.5mm) | 1x HDMI 1.4 |1x 4-in-1 media reader (MMC, SD, SDHC, SDXC)",
,,Camera (Built in): HD 720p | Fixed Focus | Privacy Shutter | Integrated Dual Array Microphone,
,,Smart Learning Features : Lenovo Aware | Whisper Voice | Eye Care,
,,,
11,IFB 30 L Convection Microwave Oven,30L Capacity: Suitable for large families.,"13,999"
,,"Convection: Can be used for baking along with grilling, reheating, defrosting and cooking",
,,IFB offer a super warranty 1 year on Microwave Oven & 3 years on magnetron & cavity,
,,IFB Provides starter kit with this product,
,,Control: Touch key pad (membrane) is sensitive to touch and easy to clean,
,,"No. of Programs: Weight Defrost, Rotisserie, Grill Mode, Auto Reheat, Delay Start, Keep Warm, ",
,,"Express Cooking ,Steam Clean, Disinfect, Deodorize",
,,Child Safety Lock: Ensures complete safety especially for homes with young children,
,,,
12,LG 28 L Convection Microwave Oven,28L Capacity: Suitable for large families,"8,999"
,,"Convection: Can be used for baking along with grilling, reheating, defrosting and cooking; Watts Microwave (Output): 900 ; Microwave Frequency(MHZ): 2450",
,,Warranty: 1 year comprehensive on product,
,,Brand does not provides starter kit with this product.,
,,Touch Key Pad (Membrane) is sensitive to touch and easy to clean,
,,Child Lock: Ensures complete safety especially for homes with small children,
,,"Special Features: Quartz Heater, Keep warm, Health Plus Menu, Stainless Steel Cavity (More Hygienic. More Durable), 251 Auto Cook Menu, ",
,,"175 Indian Auto Cook Menu, Intellowave Technology",
,,,
13,Panasonic 20L Solo Microwave Oven,"20L capacity: Suitable for bachelors & small families; power + innovation 800 watts of high power for fast, Even cooking and delicious results","5,999"
,,Re-Heat & Defrost: Auto programmed reheat and defrost modes ensure even heating or defrosting of food without compromising on the textures of flavour.,
,,Auto Cook 51 Menu: Choose from 51 preset recipes ranging from snacks to desserts to make every day meal a gourmet delight.,
,,Vapor Clean: Keep oven odor free and stain free with the touch of a button,
,,"Compact design: This countertop microwave with Glass turntable is compact, allowing you to devote less space to electronics and more to interior capacity;",
,,,
14,Panasonic 27L Convection Microwave Oven,"27L Capacity: Suitable for families with 3 to 4 members ;Power + Innovation 900 Watts of High Power for Fast, Even Cooking and Delicious Results","17,999"
,,"360 Degree Heat Wrap: Advanced Heat Wave Ducts ensure even 360 degree distribution of heat for uniform, faster cooking",
,,"Auto Cook 101 Menu: Access 101 pre-loaded menus ranging from starters to desserts, to serve up healthy, delicious food every day.",
,,Re-Heat & Defrost: Auto programmed reheat and defrost modes ensure even heating or defrosting of food without compromising on the textures of flavour.,
,,Magic Grill: Dual power of top and back grill work to make food crispier outside and juicy inside. Two Way heating ensures faster cooking.,
,,Vapor Clean: Keep oven odor free and stain free with the touch of a button,
,,"Compact Design: This countertop microwave with glass turntable is compact, allowing you to devote less space to electronics and more to interior capacity.",
,,,
15,Samsung 28 L Convection Microwave Oven,28L : Suitable for large families,"11,999"
,,"Convection Microwave Oven: Can be used for baking along with grilling, reheating, defrosting and cooking",
,,"1 year standard warranty on Product, 5 years warranty on Magnetron, 10 years warranty on ceramic enamel cavity",
,,Control : Touch Key Pad (Membrane) is sensitive to touch and easy to clean,
,,"Programs : Auto Reheat/Cook, Indian Recipe, Dough Proof/Curd, Convection, Grill, Microwave, Power Defrost, Combi (Convection + Grill), Combi (Convection + Microwave), ",
,,"Child Lock, Turntable On/Off, Deodorisation, Clock, Eco Mode, 30 sec +",
,,"Special Features : Various Cooking Mode, Convection Temperature (40~200 ?), Preheat, Clock, Auto Programs, Auto Cook, Sound on/off, Ceramic Enamel Cavity",
,,,
16,OPPO A74 5G,"6.49"" Inch 16.5cm FHD+ Punch-hole Display with 2400x1080 pixels. Larger screen to body ratio of 90.5%.Side Fingerprint Sensor","15,999"
,,"Qualcomm Snapdragon 480 5G GPU 619 at 650 MHz Support 5G sim Powerful 2 GHz Octa-core processor, support LPDDR4X memory and latest UFS 2.1 gear 3 storage",
,,5000 mAh lithium polymer battery,
,,48MP Quad Camera 48MP Main + 2MP Macro + 2MP Depth Lens 8MP Front Camera,
,,"Memory, Storage & SIM: 6GB RAM 128GB internal memory expandable up to 256GB Dual SIM nano+nano dual-standby 5G+5G. Color OS 11.1 based on Android v11.0 ",
,,operating system Connector type: USB Type C,
,,Display type: LCD,
,,,
17,Redmi 9A Sport,Processor: MediaTek Helio G25 Octa-core; Up to 2.0GHz clock speed,"6,999"
,,Camera: 13 MP Rear camera with AI portrait| 5 MP front camera,
,,Display: 16.58 centimeters (6.53-inch) HD+ display with 720x1600 pixels and 20:9 aspect ratio,
,,Battery: 5000 mAH large battery with 10W wired charger in-box,
,,"Memory, Storage & SIM: 2GB RAM | 32GB storage | Dual SIM (nano+nano) + Dedicated SD card slot",
,,The Selfie camera allows easy and convenient access to your phone with AI face unlock,
,,"Form factor:Bar,Operating system:MIUI 12",
,,,
18,Redmi 10A,Camera: 13MP Rear Camera | 5MP Front Camera,"8,999"
,,Display: HD+(1600x700) IPS LCD display; 15.58 centimeters (6.53 inch); 20:9 aspect ratio,
,,Processor: MediaTek Helio G25 Octa-core processor; Up to 2.0 GHz clock speed,
,,Battery: 5000 mAh large battery with 10W fast charger in-box and Micro USB connectivity,
,,"Memory, Storage & SIM:4GB RAM | 64GB storage expandable upto 512GB with dedicated SD card slot | Dual SIM (nano+nano) dual standby(4G+4G)",
,,,
19,Redmi Note 12,Display: Super AMOLED (1080x2400) Display with 120Hz Refresh rate; 1200nits peak brightness; 240Hz Touch sampling rate,"17,999"
,,Processor: Snapdragon 4 Gen1 6nm Octa-core 5G processor for high performance and efficiency with Adreno 619 GPU; Up to 2.0GHz,
,,Camera: 48MP AI Triple camera setup with 8MP Ultra Wide sensor and 2MP Macro camera| 13MP Front camera,
,,Battery: 5000mAh large battery with 33W fast charger in-box and Type-C connectivity,
,,"Memory, Storage & SIM: 4GB RAM | 128GB UFS 2.2 storage expandable up to 1TB | Dual SIM (nano+nano) Dual 5G (5G+5G)",
,,,
20,Samsung Galaxy S22 5G,"Pro-grade Camera that lets you make your nights epic with Nightography: It?s our brightest innovation yet. The sensor pulls in more light, the Super ","52,999"
,,"Clear Glass dials down lens flare, and fast-acting AI delivers near-instant intelligent processing.",
,,"VisionBooster outshines the sun: Stunning 120Hz Dynamic AMOLED 2X display is crafted specifically for high outdoor visibility, keeping the view clear in bright daylight.",
,,"4nm processor, our fastest chip yet: Our fastest, most powerful chip ever. That means, a faster CPU and GPU compared to Galaxy S21 Ultra.",
,,It?s an epic leap for smartphone technology.,
,,"Sleek design in a range of colors lets you express yourself how you like. The slim bezels flow into a symmetrical polished frame for an expansive, balanced display.",
,,Corning Gorilla Glass Victus+ on the screen and back panels.,
,,Connector type: usb type c,
,,,
21,AmazonBasics 80cms,Resolution: HDR 10 (1366x768) | Refresh Rate: 60 hertz | 178¿ wide viewing angle,"12,999"
,,Connectivity: Dual band Wi-Fi (2.4 GHz/ 5 GHz) for easy connectivity and uninterrupted streaming | 2 way Bluetooth 5.0 for wireless connectivity |,
,,"3 HDMI ports with ARC support to connect laptops, set top box, Blu-Ray players and gaming consoles | 1 USB port to plug in hard drives and other USB powered devices | ",
,,IR Port to control connected devices like Soundbars and Receivers | Optical audio jack | 3.5mm earphone jack,
,,Sound: 20W Output with Powerful Front-Firing Speakers | Dolby Digital delivers crystal clear audio | Experience cinema like sound with DTS Tru Surround |,
,,Front Firing Speakers radiate sound directly from the front towards you for a more immersive sound experience,
,,Smart TV Features : Fire TV Built-In | Supported Apps: Prime Video | Netflix | Disney+ Hotstar | YouTube | 12000+ apps from Fire OS Store | Voice Remote with Alexa |,
,,DTH Set-Top Box Integration to switch between DTH TV Channels and OTT apps from home screen | Display Mirroring for compatible devices |,
,,Quad core ARM Cortex-A35 CPU @ 2.0GHz | 1.5GB RAM + 8GB Internal Storage,
,,,
22,Redmi 164 cm,Resolution: 4K Ultra HD (3840 x 2160) | Refresh Rate: 60Hz | 178 Degree Viewing angle. Voltage:100-240V?50/60Hz,"55,999"
,,"Connectivity: Dual-band Wi-Fi | Bluetooth 5.0 | 3 HDMI ports to connect latest gaming consoles, set top box, Blu-ray Players |",
,,2 USB ports to connect hard drives and other USB devices | eARC - Dolby Atmos Passthrough eARC HDMI port | Optical Port,
,,Sound: 30 Watts Output | Dolby Audio | DTS Virtual: X | Dolby Atmos pass through eARC | DTS-HD,
,,Smart TV Features : Android TV 10 | PatchWall - Kids Mode with Parental Lock | Smart Curation | Universal search | Language Universe | India's Top 10 | Okay Google |,
,,"Chromecast| Suporting Apps : Netflix, Prime Video, Disney+ Hotstar",
,,,
23,Sansui 140 cm,Resolution: 4K Ultra HD (3840x2160) | Refresh Rate: 60 hertz | Wide Viewing Angle,"31,999"
,,Connectivity: 3 HDMI ports to connect multiple devices | 2 USB ports to connect hard drives and other USB devices | Bluetooth | Wi-Fi | RJ45 | Antenna,
,,Sound: Dolby Audio | DTS | 20 Watts Audio Output,
,,"Smart TV Features: Android 10.0, Google Assistant, Alexa Enabled Support, Built-in Chromecast | Performance: CA53 Quad Core Processor | RAM 2GB, ROM 8GB|",
,,"Supported Apps: Prime Video, Netflix, Disney + Hotstar, YouTube, Google Play",
,,Display: 4K UHD Android TV | A+ Grade Panel | Wide Colour Gamut | HDR 10 | Crystal Clear Display | High Brightness | Bezel-less Design,
,,,
24,Sony Bravia 164 cm,Resolution: 4K Ultra HD (3840 x 2160) | Refresh Rate: 60 Hertz | 178 Degree wide viewing angle,"75,999"
,,"Connectivity: 3 HDMI ports to connect set top box, Blu Ray players, gaming console | 2 USB ports to connect hard drives and other USB devices",
,,Sound : 20 Watts Output | Open Baffle Speaker| Dolby Audio | Clear Phase,
,,Smart TV Features: Google TV | Watchlist | Voice Search | Google Play | Chromecast | Netflix | Amazon Prime Video | Additional Features: Apple Airplay |,
,,Apple Homekit |Alexa,
,,Display: X1 4K Processor | 4K HDR | Live Colour| 4K X Reality Pro | Motion Flow XR100,
,,,
25,TOSHIBA 139 cm,Resolution : 4K Ultra ,"25,999"
,,HD (3840x2160) | Refresh Rate : 60 Hertz | ALLM VRR Supported | Bezel-less Design,
,,"Connectivity: 3 HDMI ports to connect set top box, Blu Ray players, gaming console (HDMI 1 eARC supported) | 2 USB ports to connect hard drives and other USB devices|",
,,Dual-band Wi-Fi | Bluetooth 5.0,
,,Sound : 24 Watts Output powered by REGZA Power Audio| Dolby Atmos | Dolby Digital for remarkable sound quality,
,,"Smart TV features: Google TV with Watchlist | Google Assistant | Chromecast, Miracast, DLNA, Airplay | Auto Low Latency Mode for VRR |",
,,"Supported Apps : Netflix, Youtube, Prime Video, Hotstar, SonyLiv, Hungama, JioCinema, Zee5, Eros Now",
,,"Display :10 bit A+ Grade Panel | REGZA Engine 4K | Bezel-less Ultra Slim Display Design | Decoding of Dolby Vision, HDR10, HLG | 1 Billion Colours | ALLM for VRR|MEMC",
